block,lot,parcel_number,property_address,address,tier,status,bos_district,point,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
4262,025,4262025,2425 24TH ST,"2425 24TH ST, SAN FRANCISCO CA",3,Non-Compliant,10,POINT (-122.403901723354 37.752919599254),54,54,3,9,20
0597,018,0597018,1567 JACKSON ST,"1567 JACKSON ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",3,POINT (-122.420796898362 37.793944480592),105,105,4,3,32
2001,037,2001037,1734 GREAT HY,"1734 GREAT HY, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",4,POINT (-122.508286472497 37.754014679911),39,39,10,7,35
6408,010,6408010,1025 GENEVA AV,"1025 GENEVA AV, SAN FRANCISCO CA",4,"Permit Submitted, CFC Required by 9/15/20",11,POINT (-122.438854937934 37.715734108079),90,90,9,1,7
0417B,004,0417B004,241 CERVANTES BL,"241 CERVANTES BL, SAN FRANCISCO CA",4,"Work Complete, CFC Issued",2,POINT (-122.441609211571 37.805075941053),17,17,4,6,13
3570,046,3570046,135 CAPP ST,"135 CAPP ST, SAN FRANCISCO CA",4,"Work Complete, CFC Issued",9,POINT (-122.418358469062 37.76454721944),53,53,3,2,20
0498,017,0498017,2900 FRANKLIN ST,"2900 FRANKLIN ST, SAN FRANCISCO CA",4,"Work Complete, CFC Issued",2,POINT (-122.425950229682 37.801316410651),17,17,4,6,13
3615,038,3615038,654 CAPP ST,"654 CAPP ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",9,POINT (-122.418040780324 37.756201077357),53,53,3,2,20
3597,042,3597042,711 GUERRERO ST,"711 GUERRERO ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",8,POINT (-122.423320938679 37.759698939744),37,37,3,5,20
2659,055,2659055,311 CORBETT AV,"311 CORBETT AV, SAN FRANCISCO CA",2,Non-Compliant,8,POINT (-122.444109463483 37.760400623878),115,115,7,5,5
6569,003,6569003,3018 MISSION ST,"3018 MISSION ST, SAN FRANCISCO CA",4,"Permit Submitted, CFC Required by 9/15/20",9,POINT (-122.418464449319 37.748701785952),53,53,3,2,20
0537,039,0537039,2856 SCOTT ST,"2856 SCOTT ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",2,POINT (-122.440045662915 37.796292089749),14,14,4,6,13
0479,010,0479010,3040 FRANKLIN ST,"3040 FRANKLIN ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",2,POINT (-122.426127670682 37.802623359764),17,17,4,6,13
1456,041,1456041,400 25TH AV,"400 25TH AV, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",1,POINT (-122.484681799256 37.78178151597),8,8,8,4,29
3553,003,3553003,436 SOUTH VAN NESS AV,"436 SOUTH VAN NESS AV, SAN FRANCISCO CA",4,"Work Complete, CFC Issued",9,POINT (-122.417944083339 37.766192286287),53,53,3,2,20
2617,027,2617027,180 CLIFFORD TR,"180 CLIFFORD TR, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",8,POINT (-122.445693323276 37.764264377239),112,112,7,5,3
3578,030,3578030,475 DOLORES ST,"475 DOLORES ST, SAN FRANCISCO CA",4,"Permit Submitted, CFC Required by 9/15/20",8,POINT (-122.425731351113 37.761842387907),37,37,3,5,20
0515,041,0515041,277 PIXLEY ST,"277 PIXLEY ST, SAN FRANCISCO CA",4,"Work Complete, CFC Issued",2,POINT (-122.437064890439 37.798208022132),15,15,4,6,13
1154,007,1154007,1640 GOLDEN GATE AV,"1640 GOLDEN GATE AV, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",5,POINT (-122.43760496334 37.779044684039),97,97,4,11,39
7141,039,7141039,168 SICKLES ST,"168 SICKLES ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",11,POINT (-122.453920615695 37.710065869922),66,66,9,1,28
1223,001,1223001,1015 MASONIC AV,"1015 MASONIC AV, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",5,POINT (-122.445899958428 37.77181471392),25,25,7,11,3
1664,025,1664025,790 22ND AV,"790 22ND AV, SAN FRANCISCO CA",3,Non-Compliant,1,POINT (-122.480815821313 37.772976536267),8,8,8,4,29
0665,023,0665023,1791 PINE ST,"1791 PINE ST, SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2,POINT (-122.425134260366 37.788883820813),100,100,4,6,39
3549,026,3549026,1474 15TH ST,"1474 15TH ST, SAN FRANCISCO CA",3,Non-Compliant,9,POINT (-122.417141959581 37.767033951052),53,53,3,2,20
3532,012A,3532012A,320 14TH ST,"320 14TH ST, SAN FRANCISCO CA",4,"Permit Submitted, CFC Required by 9/15/20",9,POINT (-122.42060782524 37.768460295713),53,53,3,2,20
2695,020,2695020,195 COLLINGWOOD ST,"195 COLLINGWOOD ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",8,POINT (-122.435661488534 37.759429520767),38,38,3,5,5
0180,007,0180007,912 JACKSON ST,"912 JACKSON ST, SAN FRANCISCO CA",4,"Permit Submitted, CFC Required by 9/15/20",3,POINT (-122.41027376365 37.795695103206),16,16,6,3,6
2648,030,2648030,51 DIAMOND ST,"51 DIAMOND ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",8,POINT (-122.436941501288 37.76157496694),38,38,3,5,5
1442,015,1442015,369 10TH AV,"369 10TH AV, SAN FRANCISCO CA",4,"Work Complete, CFC Issued",1,POINT (-122.468945276453 37.781565568293),5,5,8,4,11
0522,004,0522004,1550 FILBERT ST,"1550 FILBERT ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",2,POINT (-122.425135038013 37.799648754192),15,15,4,6,13
3545,027,3545027,189 DOLORES ST,"189 DOLORES ST, SAN FRANCISCO CA",4,"Work Complete, CFC Issued",8,POINT (-122.426194649992 37.766495969196),37,37,3,5,20
0649,013,0649013,1808 OCTAVIA ST,"1808 OCTAVIA ST, SAN FRANCISCO CA",2,Non-Compliant,2,POINT (-122.426900966564 37.789045887179),102,102,4,6,30
1434,047,1434047,313 02ND AVE,"313 02ND AVE, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",1,POINT (-122.460427812674 37.782642900077),5,5,8,4,11
6554,001,6554001,301 CLIPPER ST,"301 CLIPPER ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",8,POINT (-122.431903213713 37.74887870511),84,84,3,5,22
0926,005,0926005,3333 BRODERICK ST,"3333 BRODERICK ST, SAN FRANCISCO CA",4,"Work Complete, CFC Issued",2,POINT (-122.4451087553 37.801085638641),17,17,4,6,13
0116,001,0116001,1499 GRANT AV,"1499 GRANT AV, SAN FRANCISCO CA",4,"Work Complete, CFC Issued",3,POINT (-122.407739810999 37.800480064915),106,106,6,3,23
1191,023,1191023,2277 FULTON ST,"2277 FULTON ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",1,POINT (-122.454333332252 37.774671158855),12,12,7,4,18
0623,008,0623008,1865 CLAY ST,"1865 CLAY ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",2,POINT (-122.423811304504 37.791756729215),102,102,4,6,30
0858,031,0858031,295 BUCHANAN ST,"295 BUCHANAN ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",5,POINT (-122.427333662789 37.772274906558),27,27,4,11,9
0979,056,0979056,2785 JACKSON ST,"2785 JACKSON ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",2,POINT (-122.44079310496 37.791511823679),102,102,4,6,30
0548,001,0548001,2265 LARKIN ST,"2265 LARKIN ST, SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3,POINT (-122.42101230172 37.798770595533),105,105,4,3,32
6955,017,6955017,4728 MISSION ST,"4728 MISSION ST, SAN FRANCISCO CA",4,"Permit Submitted, CFC Required by 9/15/20",11,POINT (-122.436700173312 37.722657675991),80,80,9,1,28
0092,023,0092023,126 VALPARAISO ST,"126 VALPARAISO ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",3,POINT (-122.415030777686 37.801260832724),107,107,6,3,32
1547,033,1547033,570 05TH AV,"570 05TH AV, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",1,POINT (-122.462653605825 37.777887597227),5,5,8,4,11
1803,001B,1803001B,4725 IRVING ST,"4725 IRVING ST, SAN FRANCISCO CA",4,"Work Complete, CFC Issued",4,POINT (-122.508631777785 37.76192486842),39,39,10,7,35
1530,031,1530031,5029 GEARY BL,"5029 GEARY BL, SAN FRANCISCO CA",4,"Permit Submitted, CFC Required by 9/15/20",1,POINT (-122.473398307746 37.780305258004),5,5,8,4,29
0986,023,0986023,3590 WASHINGTON ST,"3590 WASHINGTON ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",2,POINT (-122.452153187771 37.789599939286),10,10,8,6,31
6569,015A,6569015A,3475 26TH ST,"3475 26TH ST, SAN FRANCISCO CA",3,Non-Compliant,9,POINT (-122.419709503767 37.748706839692),53,53,3,2,20
3580,005,3580005,544 CHURCH ST,"544 CHURCH ST, SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8,POINT (-122.428768124132 37.762226010281),37,37,3,5,5
1202,006,1202006,1220 HAYES ST,"1220 HAYES ST, SAN FRANCISCO CA",3,Non-Compliant,5,POINT (-122.436673038986 37.775398999374),23,23,4,11,9
2801,020,2801020,335 GRAND VIEW AV,"335 GRAND VIEW AV, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",8,POINT (-122.44228593647 37.752596229681),51,51,3,5,22
1254,045,1254045,710 CLAYTON ST,"710 CLAYTON ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",5,POINT (-122.448028375108 37.768592562471),25,25,7,11,3
0576,066,0576066,1701 BROADWAY,"1701 BROADWAY , SAN FRANCISCO CA",3,"Work Complete, CFC Issued",2,POINT (-122.425347555346 37.795330802736),102,102,4,6,30
3647,011,3647011,1170 GUERRERO ST,"1170 GUERRERO ST, SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8,POINT (-122.423309419493 37.752402967889),52,52,3,5,20
0274,024,0274024,755 MASON ST,"755 MASON ST, SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3,POINT (-122.410848503073 37.790630195907),50,50,6,3,21
6514,024,6514024,221 SAN JOSE AV,"221 SAN JOSE AV, SAN FRANCISCO CA",4,"Permit Submitted, CFC Required by 9/15/20",8,POINT (-122.421279774512 37.751647534463),53,53,3,5,20
0073,003,0073003,2127 TAYLOR ST,"2127 TAYLOR ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",3,POINT (-122.414928069898 37.802067961811),107,107,6,3,32
3580,029,3580029,467 SANCHEZ ST,"467 SANCHEZ ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",8,POINT (-122.430315477643 37.761683019538),37,37,3,5,5
3541,022,3541022,2172 15TH ST,"2172 15TH ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",8,POINT (-122.432645132943 37.766145072461),28,28,7,5,5
3610,049,3610049,3421 20TH ST,"3421 20TH ST, SAN FRANCISCO CA",3,Non-Compliant,9,POINT (-122.41747763452 37.75850254264),53,53,3,2,20
0639,017,0639017,2171 SACRAMENTO ST,"2171 SACRAMENTO ST, SAN FRANCISCO CA",3,Non-Compliant,2,POINT (-122.428514943561 37.790253416088),102,102,4,6,30
0218,027,0218027,1561 CLAY ST,"1561 CLAY ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",3,POINT (-122.418774925974 37.792465863485),16,16,6,3,21
1414,014,1414014,271 19TH AV,"271 19TH AV, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",1,POINT (-122.478812420908 37.782851106399),8,8,8,4,29
3612,073,3612073,2400 HARRISON ST,"2400 HARRISON ST, SAN FRANCISCO CA",4,"Permit Submitted, CFC Required by 9/15/20",9,POINT (-122.412745706695 37.758894217364),53,53,3,2,20
1417,033,1417033,5441 CALIFORNIA ST,"5441 CALIFORNIA ST, SAN FRANCISCO CA",3,"Work Complete, No CFC Issued yet",1,POINT (-122.476050175654 37.784048694595),5,5,8,4,29
0090,007,0090007,1823 POWELL ST,"1823 POWELL ST, SAN FRANCISCO CA",4,"Permit Submitted, CFC Required by 9/15/20",3,POINT (-122.411330312811 37.801500209),106,106,6,3,23
1053,001,1053001,1679 BRODERICK ST,"1679 BRODERICK ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",2,POINT (-122.441855700152 37.78571671076),103,103,8,6,30
0861,032,0861032,625 HAIGHT ST,"625 HAIGHT ST, SAN FRANCISCO CA",4,"Work Complete, CFC Issued",5,POINT (-122.43255719154 37.77155093028),26,26,4,11,3
0253,007,0253007,1026 PINE ST,"1026 PINE ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",3,POINT (-122.412856375535 37.790797798505),16,16,6,3,21
0634,029,0634029,2635 SACRAMENTO ST,"2635 SACRAMENTO ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",2,POINT (-122.436224247058 37.789294314472),102,102,4,6,30
2371,016,2371016,2390 43RD AV,"2390 43RD AV, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",4,POINT (-122.501244600395 37.74217271189),39,39,10,7,35
0824,008,0824008,1173 HAYES ST,"1173 HAYES ST, SAN FRANCISCO CA",3,Non-Compliant,5,POINT (-122.4356288072 37.775039245251),23,23,4,11,9
1247,023,1247023,1677 HAIGHT ST,"1677 HAIGHT ST, SAN FRANCISCO CA",4,"Permit Submitted, CFC Required by 9/15/20",5,POINT (-122.450179252141 37.76935847124),25,25,7,11,3
3552,014,3552014,2874 16TH ST,"2874 16TH ST, SAN FRANCISCO CA",4,Non-Compliant,9,POINT (-122.416987950114 37.765475483711),53,53,3,2,20
7081A,001,7081A001,4071 19TH AV,"4071 19TH AV, SAN FRANCISCO CA",4,"Work Complete, CFC Issued",11,POINT (-122.470862943822 37.715039665707),65,65,10,1,24
0144,009,0144009,426 BROADWAY,"426 BROADWAY , SAN FRANCISCO CA",4,"Work Complete, CFC Issued",3,POINT (-122.404448956668 37.798451680165),106,106,6,3,23
0856,002,0856002,41 OCTAVIA ST,"41 OCTAVIA ST, SAN FRANCISCO CA",4,"Work Complete, CFC Issued",5,POINT (-122.424050697419 37.772494361534),27,27,4,11,9
0797,030,0797030,835 FULTON ST,"835 FULTON ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",5,POINT (-122.430508124858 37.777549008336),22,22,4,11,9
1734,018,1734018,1530 IRVING ST,"1530 IRVING ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",5,POINT (-122.474466911468 37.763928799772),109,109,10,11,14
0573,012,0573012,2032 POLK ST,"2032 POLK ST, SAN FRANCISCO CA",4,"Permit Submitted, CFC Required by 9/15/20",3,POINT (-122.421497539694 37.795677702674),105,105,4,3,32
0499,002,0499002,2727 POLK ST,"2727 POLK ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",2,POINT (-122.423268496641 37.801921949476),107,107,4,6,32
0478,001B,0478001B,2855 POLK ST,"2855 POLK ST, SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2,POINT (-122.423511697593 37.803121382035),107,107,4,6,32
0062,043,0062043,1821 GRANT AV,"1821 GRANT AV, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",3,POINT (-122.408533270683 37.803760567629),106,106,6,3,23
0213,011,0213011,1144 CLAY ST,"1144 CLAY ST, SAN FRANCISCO CA",4,"Permit Submitted, CFC Required by 9/15/20",3,POINT (-122.412081176408 37.793789630157),16,16,6,3,21
0754,006,0754006,1440 GOLDEN GATE AV,"1440 GOLDEN GATE AV, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",5,POINT (-122.434295320899 37.77955227966),97,97,4,11,39
0150,035,0150035,1 FLORENCE ST,"1 FLORENCE ST, SAN FRANCISCO CA",3,Non-Compliant,3,POINT (-122.414798040008 37.797067916313),107,107,6,3,21
3513,077,3513077,1316 JESSIE ST,"1316 JESSIE ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",6,POINT (-122.421242294186 37.771191883266),32,32,1,10,20
3728,006,3728006,156 08TH ST,"156 08TH ST, SAN FRANCISCO CA",4,"Work Complete, CFC Issued",6,POINT (-122.412458930961 37.776588979209),32,32,1,10,34
3541,081,3541081,819 14TH ST,"819 14TH ST, SAN FRANCISCO CA",4,"Permit Submitted, CFC Required by 9/15/20",8,POINT (-122.431716695347 37.767317282831),28,28,7,5,5
4715,013,4715013,12 GEORGR CT,"12 GEORGR CT, SAN FRANCISCO CA",3,Non-Compliant,10,POINT (-122.382841870388 37.731208461866),86,86,2,9,1
1604,028,1604028,717 40TH AV,"717 40TH AV, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",1,POINT (-122.50082236005 37.775064345737),8,8,8,4,29
2660,043,2660043,1310 CLAYTON ST,"1310 CLAYTON ST, SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8,POINT (-122.445939451012 37.760077575629),115,115,7,5,5
4720,012,4720012,65 REUEL CT,"65 REUEL CT, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",10,POINT (-122.382951915639 37.736318621482),86,86,2,9,1
0552,005,0552005,2433 FRANKLIN ST,"2433 FRANKLIN ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",2,POINT (-122.42565092335 37.796913661423),102,102,4,6,13
0181,005,0181005,1325 MASON ST,"1325 MASON ST, SAN FRANCISCO CA",4,"Work Complete, CFC Issued",3,POINT (-122.411966489881 37.795746720193),16,16,6,3,21
0928,006,0928006,3425 SCOTT ST,"3425 SCOTT ST, SAN FRANCISCO CA",4,"Work Complete, CFC Issued",2,POINT (-122.441759379304 37.801478993222),17,17,4,6,13
2748,012,2748012,95 GRAND VIEW AV,"95 GRAND VIEW AV, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",8,POINT (-122.439977793323 37.756589663616),115,115,3,5,38
1409,042,1409042,318 25TH AV,"318 25TH AV, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",1,POINT (-122.484654167187 37.783481199451),8,8,8,4,29
1432,049,1432049,345 ARGUELLO BL,"345 ARGUELLO BL, SAN FRANCISCO CA",3,Non-Compliant,1,POINT (-122.459466496577 37.7842150247),5,5,8,4,11
1726,026,1726026,1728 25TH AV,"1728 25TH AV, SAN FRANCISCO CA",3,Non-Compliant,4,POINT (-122.483254726525 37.763711254851),39,39,10,7,35
1512,046,1512046,6841 GEARY BL,"6841 GEARY BL, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",1,POINT (-122.492972475177 37.779405273723),8,8,8,4,29
0188,003,0188003,1447 JONES ST,"1447 JONES ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",3,POINT (-122.415030340102 37.794677575108),16,16,6,3,21
3576,037,3576037,3460 18TH ST,"3460 18TH ST, SAN FRANCISCO CA",4,"Permit Submitted, CFC Required by 9/15/20",9,POINT (-122.420715309356 37.761960195851),53,53,3,2,20
0937,003,0937003,3101 SCOTT ST,"3101 SCOTT ST, SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2,POINT (-122.441054435162 37.798526488293),14,14,4,6,13
1200,004,1200004,515 BRODERICK ST,"515 BRODERICK ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",5,POINT (-122.439831329383 37.775011685326),24,24,7,11,9
3753,009,3753009,388 05TH ST,"388 05TH ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",6,POINT (-122.402286433684 37.779077929587),32,32,1,10,34
3532,059,3532059,65 WOODWARD ST,"65 WOODWARD ST, SAN FRANCISCO CA",4,"Work Complete, CFC Issued",9,POINT (-122.420650608349 37.768902527694),53,53,3,2,20
1365,001,1365001,401 LAKE ST,"401 LAKE ST, SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2,POINT (-122.463827006594 37.786465110574),4,4,8,6,11
1004,021,1004021,2088 BRODERICK ST,"2088 BRODERICK ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",2,POINT (-122.442263907342 37.789452350533),102,102,8,6,30
0155,023,0155023,1378 PACIFIC AV,"1378 PACIFIC AV, SAN FRANCISCO CA",4,"Permit Submitted, CFC Required by 9/15/20",3,POINT (-122.417938278875 37.795660271219),16,16,6,3,32
3588,001C,3588001C,3527 18TH ST,"3527 18TH ST, SAN FRANCISCO CA",4,"Work Complete, CFC Issued",8,POINT (-122.422238683853 37.761476735336),37,37,3,5,20
1843,017,1843017,1495 10TH AV,"1495 10TH AV, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",7,POINT (-122.46731595198 37.76050352793),109,109,10,8,14
1269,014,1269014,867 ASHBURY ST,"867 ASHBURY ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",5,POINT (-122.446575164409 37.766034348759),114,114,7,11,3
6597,005,6597005,40 TIFFANY AV,"40 TIFFANY AV, SAN FRANCISCO CA",3,Non-Compliant,8,POINT (-122.421058929859 37.745986720499),83,83,9,5,2
3549,036,3549036,349 SOUTH VAN NESS AV,"349 SOUTH VAN NESS AV, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",9,POINT (-122.417366045502 37.767667675406),53,53,3,2,20
1189,009,1189009,2090 GROVE ST.,"2090 GROVE ST., SAN FRANCISCO CA",3,"Work Complete, CFC Issued",5,POINT (-122.450939794051 37.774443194597),24,24,7,11,18
0983,020,0983020,3119 JACKSON ST,"3119 JACKSON ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",2,POINT (-122.44647678666 37.790717563624),10,10,8,6,31
0212,015,0212015,1050 CLAY ST,"1050 CLAY ST, SAN FRANCISCO CA",3,Non-Compliant,3,POINT (-122.41047400148 37.79388573564),16,16,6,3,21
3649,001,3649001,1000 DOLORES ST,"1000 DOLORES ST, SAN FRANCISCO CA",3,Non-Compliant,8,POINT (-122.425655010562 37.753220926131),52,52,3,5,22
0528,019,0528019,1645 FILBERT ST,"1645 FILBERT ST, SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2,POINT (-122.426490683603 37.79890275463),15,15,4,6,13
3580,071,3580071,3715 17TH ST,"3715 17TH ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",8,POINT (-122.428894755613 37.762637210452),37,37,3,5,5
0248,010,0248010,1320 CALIFORNIA ST,"1320 CALIFORNIA ST, SAN FRANCISCO CA",3,Non-Compliant,3,POINT (-122.416221077042 37.791361754295),16,16,6,3,21
3557,055B,3557055B,1957 15TH ST,"1957 15TH ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",8,POINT (-122.42787884874 37.76598833739),37,37,3,5,5
4148,025A,4148025A,2625 HARRISON ST,"2625 HARRISON ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",9,POINT (-122.411834033327 37.755299241158),53,53,3,2,20
0130,012,0130012,2 EMERY LN,"2 EMERY LN, SAN FRANCISCO CA",4,"Permit Submitted, CFC Required by 9/15/20",3,POINT (-122.409539586087 37.798675372348),106,106,6,3,6
0651,032,0651032,1905 LAGUNA ST,"1905 LAGUNA ST, SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5,POINT (-122.429036368594 37.788718411127),102,102,4,11,30
1475,033,1475033,430 44TH AV,"430 44TH AV, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",1,POINT (-122.504853155868 37.780442624757),6,6,8,4,29
0223,010,0223010,1040 MASON ST,"1040 MASON ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",3,POINT (-122.410875979195 37.793291994583),16,16,6,3,21
3610,054,3610054,936 SOUTH VAN NESS AV,"936 SOUTH VAN NESS AV, SAN FRANCISCO CA",2,"Work Complete, CFC Issued",9,POINT (-122.41716436395 37.758136501529),53,53,3,2,20
1802,012,1802012,1395 47TH AV,"1395 47TH AV, SAN FRANCISCO CA",3,Non-Compliant,4,POINT (-122.507192416185 37.760616076117),39,39,10,7,35
3637,019D,3637019D,3270 23RD ST,"3270 23RD ST, SAN FRANCISCO CA",4,"Work Complete, CFC Issued",9,POINT (-122.417993408127 37.754084796929),53,53,3,2,20
0980,003,0980003,2341 DIVISADERO ST,"2341 DIVISADERO ST, SAN FRANCISCO CA",3,Non-Compliant,2,POINT (-122.441459705751 37.791222865796),102,102,8,6,30
0524,021B,0524021B,1385 GREENWICH ST,"1385 GREENWICH ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",2,POINT (-122.42239568901 37.80051503253),107,107,4,6,32
3544,014,3544014,198 DOLORES ST,"198 DOLORES ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",8,POINT (-122.426808413019 37.766463302721),37,37,3,5,5
1049,003,1049003,1851 DIVISADERO ST,"1851 DIVISADERO ST, SAN FRANCISCO CA",4,"Permit Submitted, CFC Required by 9/15/20",2,POINT (-122.440491647656 37.786741945626),103,103,8,6,30
3580,048,3580048,250 DORLAND ST,"250 DORLAND ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",8,POINT (-122.429586624319 37.762298296849),37,37,3,5,5
0526,005,0526005,2433 POLK ST,"2433 POLK ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",2,POINT (-122.422716610695 37.799168912176),107,107,4,6,32
0489,021,0489021,2386 LOMBARD ST,"2386 LOMBARD ST, SAN FRANCISCO CA",4,"Permit Submitted, CFC Required by 9/15/20",2,POINT (-122.440773237375 37.799521000347),17,17,4,6,13
0824,001E,0824001E,1010 FELL ST,"1010 FELL ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",5,POINT (-122.434633084472 37.77458176405),23,23,4,11,9
0147,011,0147011,754 BROADWAY,"754 BROADWAY , SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3,POINT (-122.409629112069 37.797759982936),106,106,6,3,6
3587,015,3587015,696 GUERRERO ST,"696 GUERRERO ST, SAN FRANCISCO CA",4,"Work Complete, CFC Issued",8,POINT (-122.423937487982 37.760080481635),37,37,3,5,20
0602,014,0602014,2077 JACKSON ST,"2077 JACKSON ST, SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2,POINT (-122.429118870096 37.792901555064),102,102,4,6,30
3502,059,3502059,53 PEARL ST,"53 PEARL ST, SAN FRANCISCO CA",4,"Work Complete, CFC Issued",8,POINT (-122.423684785632 37.770527986916),27,27,1,5,20
0510,034,0510034,3218 STEINER ST,"3218 STEINER ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",2,POINT (-122.437337938516 37.799134205348),15,15,4,6,13
3633,009,3633009,46 ALVARADO ST,"46 ALVARADO ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",8,POINT (-122.42225328968 37.754666381108),52,52,3,5,20
1533,012,1533012,459 11TH AV,"459 11TH AV, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",1,POINT (-122.46987620755 37.779597349715),5,5,8,4,11
0115,018,0115018,462 GREEN ST,"462 GREEN ST, SAN FRANCISCO CA",4,"Permit Submitted, CFC Required by 9/15/20",3,POINT (-122.406855435628 37.799965801315),106,106,6,3,23
0606,016,0606016,2576 WASHINGTON ST,"2576 WASHINGTON ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",2,POINT (-122.435719924946 37.791660248743),102,102,4,6,30
0187,037,0187037,1429 LEAVENWORTH ST,"1429 LEAVENWORTH ST, SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3,POINT (-122.416721842205 37.794232683664),16,16,6,3,32
6593,005,6593005,228 DUNCAN ST,"228 DUNCAN ST, SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8,POINT (-122.425377170594 37.746435588024),84,84,9,5,22
2409,036,2409036,2400 17TH AV,"2400 17TH AV, SAN FRANCISCO CA",3,Non-Compliant,7,POINT (-122.473359867455 37.74290453611),46,46,10,8,41
1220,027,1220027,1359 OAK ST,"1359 OAK ST, SAN FRANCISCO CA",3,Non-Compliant,5,POINT (-122.441684715761 37.772298620286),112,112,7,11,3
